csv_column,csv_unit,imas_unit,csv_dtype,imas_dtype,imas_path,csv_description,imas_description,kind,status,notes,transform,transform_args,source_fields,source,
BSOURCE,,,dynamic_integer1d(:),,,"Power fractions injected by neutral beam 1. Given as a sequence P1P2P3 of power fractions (in percentage) P1, P2 and P3 of the 3 components in neutral beam 1.",,,manifest,"Three two-digit power fractions concatenated into one integer (e.g. 652510 = 65/25/10). The DD holds these as a three-element array, which a scalar row cannot fill.",identity,,,,
BSOURCE2,,,dynamic_integer1d(:),,,"Power fractions injected by neutral beam 2. Given as a sequence P1P2P3 of power fractions (in percentage) P1, P2 and P3 of the 3 components in neutral beam 2.",,,manifest,"As BSOURCE, for the second injector.",identity,,,,
PFLOSS,W,,dynamic_float1d(:),,,Neutral beam power lost from the plasma through charge exchange and unconfined orbits.,,,manifest,Charge-exchange and unconfined-orbit beam losses; no summary node combines the two loss channels.,identity,,,,
ECHLOC,,,constant_string1d(:),,,Location of ECRH launch.,,,manifest,"Launch location as a coarse label (IN, OUT, LFS_UPPER); only 52 of 14153 rows carry anything but NONE.",identity,,,,
ICSCHEME,,,constant_string1d(:),,,ICRH heating scheme.,,,manifest,"Full scheme label (HMIN, HE3MIN, H2NDHARM, ...). The nearest DD node, ic/harmonic, captures only the harmonic number.",identity,,,,
PALPHA,W,,dynamic_float1d(:),,,Estimated alpha heating power in deuterium-tritium plasmas.,,,manifest,"Alpha heating power. summary/fusion/power is the total fusion power, a factor of five larger, and the DD has no alpha heating power scalar.",identity,,,,
TE0TSC,eV,,dynamic_float1d(:),,,Electron temperature on the magnetic axis from Thomson scattering. Determined from the Thomson scattering point closest to the magnetic axis.,,,manifest,Thomson-scattering central electron temperature; local/magnetic_axis/t_e is taken by TE0.,identity,,,,
TICX0,eV,,dynamic_float1d(:),,,Ion temperature on the magnetic axis from charge exchange recombination spectroscopy.,,,manifest,Charge-exchange central ion temperature; local/magnetic_axis/t_i_average is taken by TI0.,identity,,,,
WFFORM,J,,dynamic_float1d(:),,,Total fast ion energy due to NBI estimated from approximate formula. Zero if no NBI is applied.,,,manifest,"Formula estimate of the NBI fast-ion energy; the two summary fast-energy nodes are taken by WFPER and WFPAR, and no per-source NBI fast energy exists.",identity,,,,
WFICRHP,J,,dynamic_float1d(:),,,Estimate of the parallel fast ion energy content due to ICRH heating. Zero if no ICRH is applied.,,,manifest,Parallel IC fast-ion energy; the DD does not split ic/energy_fast into parallel and perpendicular parts.,identity,,,,
WFICFORM,J,,dynamic_float1d(:),,,Total fast ion energy due to ICRH estimated from approximate formula. Zero if no ICRH is applied.,,,manifest,Formula estimate of the ICRH fast-ion energy; ic(0)/energy_fast is taken by WFICRH.,identity,,,,
ICFORM,,,dynamic_integer1d(:),,,Flag indicating whether WFICFORM was used in confinement calculations.,,,manifest,Flag marking the rows where WFICFORM was used in the confinement calculation.,identity,,,,
TAUDIA,s,,dynamic_float1d(:),,,"Total diamagnetic energy confinement time. [formula in source, not extractable]",,,manifest,"One of five confinement times in this database; global_quantities/tau_energy holds one value and is assigned to TAUTH, the database's primary thermal tau_E.",identity,,,,
TAUMHD,s,,dynamic_float1d(:),,,"Total MHD energy confinement time. [formula in source, not extractable]",,,manifest,As TAUDIA; the MHD variant.,identity,,,,
TAUTH1,s,,dynamic_float1d(:),,,"Thermal energy confinement time. [formula in source, not extractable]",,,manifest,As TAUDIA; thermal tau_E from kinetic profiles.,identity,,,,
TAUTH2,s,,dynamic_float1d(:),,,"Thermal energy confinement time. [formula in source, not extractable]",,,manifest,As TAUDIA; thermal tau_E from the stored energy minus the fast-ion content. Fills 14 of the AUG rows where TAUTH is blank.,identity,,,,
TAUTOT],s,,dynamic_float1d(:),,,"Estimated total energy confinement time. [formula in source, not extractable]",,,manifest,"As TAUDIA; the total tau_E, WTOT / PL. The column name carries a stray ']' in the data CSV header, which csv_column reproduces so the row matches the data.",identity,,,,
TAUC92,1,,dynamic_float1d(:),,,"Correction factor for thermal confinement time TAUTH. [formula in source, not extractable]",,,manifest,Per-machine correction factor applied to TAUTH before the H-factors are formed; 1 except where the definitions document lists an exception.,identity,,,,
TAUC93,1,,dynamic_float1d(:),,,"Correction factor for thermal confinement time TAUTH. [formula in source, not extractable]",,,manifest,"As TAUC92, after [Schissel93].",identity,,,,
SPIN,1,,dynamic_float1d(:),,,"Net fraction of NBI power in parallel direction. [formula in source, not extractable]",,,manifest,"TEXTOR reports the constant +/-0.9429 on all 1226 of its filled rows, which is a fill rather than a measurement.",identity,,,,
TORQ,N.m,,dynamic_float1d(:),,,"Torque on plasma due to neutral beam injection. [formula in source, not extractable]",,,manifest,No toroidal torque node exists under summary.,identity,,,,
TORQBM,N.m,,dynamic_float1d(:),,,Volume-integrated torque due to beam. Calculated by a transport code (e.g. TRANSP).,,,manifest,As TORQ; the transport-code beam torque.,identity,,,,
TORQIN,N.m,,dynamic_float1d(:),,,Volume-integrated total input torque. Composed of beam torque and possible additional contributions due to applied or intrinsic error fields.,,,manifest,As TORQ; the total input torque.,identity,,,,
NESOL,m^-3,,dynamic_float1d(:),,,Electron density in the scrape-off layer.,,,manifest,"summary/scrape_off_layer carries decay lengths but no SOL electron density, so there is no node for this value.",identity,,,,
SELDB5,,,dynamic_integer1d(:),,,Standard dataset flag for DB5.,,,manifest,"The selection flag for DB5, this database's own release and the one a downstream user filters on.",identity,,,,
ITBTYPE,,,,,,Flag describing type of ITB.,,,discard,"Only 'NA' (13287) and 'NONE' (866) occur, so the column carries no ITB type information.",,,,,
TPI,,,,,,Time point indicator (ASDEX only).,,,discard,"ASDEX-only time point indicator, and JET carries the integer fill -9999999 on 825 rows.",,,,,
ISEQ,,,,,,Parameter scan identifier.,,,discard,"Parameter-scan identifier: a per-machine bookkeeping label for the scan a point belongs to, with no physics content.",,,,,
IEML,,,,,,Ergodic magnetic field coil current.,,,discard,"Ergodic field coil current, JFT-2M only, and 77% of the column is zero.",,,,,
BMHDMDIA,,,,,,Offset during the Ohmic phase between MHD and diamagnetic quantities.,,,discard,ASDEX-only offset between the MHD and diamagnetic poloidal betas during the Ohmic phase.,,,,,
FBS,,,,,,Bootstrap current fraction.,,,discard,Column is entirely empty.,,,,,
RHOQ2,,,,,,Normalized radius rho of the q = 2 surface.,,,discard,Column is entirely empty.,,,,,
DWDIAPAR,,,,,,Time derivative for ASDEX of WDIA from a parabolic fit to the 3 available H-mode points. Only relevant for ASDEX and used in calculating TAUDIA.,,,discard,"ASDEX-only parabolic-fit variant of DWDIA, filled on 4% of rows.",,,,,
DWHC,,,,,,Flag indicating whether DWDIA or DWMHD were manually corrected for ASDEX. Only relevant for ASDEX: See table.,,,discard,ASDEX-only flag marking hand-corrected DWDIA or DWMHD values.,,,,,
WROT,,,,,,"Total rotational energy. [formula in source, not extractable]",,,discard,Column is entirely empty.,,,,,
H89,,,,,,"Confinement enhancement factor w.r.t. ITER89-P. [formula in source, not extractable]",,,discard,H-factor against the published ITER89-P scaling law.,,,,,
HITER96L,,,,,,"Confinement enhancement factor w.r.t. ITERL96-P. [formula in source, not extractable]",,,discard,H-factor against the published ITERL96-P scaling law. The definitions document calls this variable HITERL96; csv_column follows the data CSV header.,,,,,
H93,,,,,,"Confinement enhancement factor w.r.t. ITERH93-P. [formula in source, not extractable]",,,discard,H-factor against the published ITERH93-P scaling law.,,,,,
HITER92Y,,,,,,"Confinement enhancement factor w.r.t. ITERH92Y. [formula in source, not extractable]",,,discard,H-factor against the published ITERH92Y scaling law.,,,,,
HEPS97,,,,,,"Confinement enhancement factor w.r.t. HEPS97. [formula in source, not extractable]",,,discard,H-factor against the published EPS97(ELMy) scaling law.,,,,,
HIPB98Y,,,,,,"Confinement enhancement factor w.r.t. IPB98(y). [formula in source, not extractable]",,,discard,H-factor against the published IPB98(y) scaling law.,,,,,
HIPB98Y1,,,,,,"Confinement enhancement factor w.r.t. IPB98(y,1). [formula in source, not extractable]",,,discard,"H-factor against the published IPB98(y,1) scaling law.",,,,,
HIPB98Y2,,,,,,"Confinement enhancement factor w.r.t. IPB98(y,2). [formula in source, not extractable]",,,discard,"H-factor against the published IPB98(y,2) scaling law. Note that summary/global_quantities/h_98 is exactly this quantity, so this row is the one H-factor that could be mapped if the triage rule were relaxed.",,,,,
HIPB98Y3,,,,,,"Confinement enhancement factor w.r.t. IPB98(y,3). [formula in source, not extractable]",,,discard,"H-factor against the published IPB98(y,3) scaling law.",,,,,
HIPB98Y4,,,,,,"Confinement enhancement factor w.r.t. IPB98(y,4). [formula in source, not extractable]",,,discard,"H-factor against the published IPB98(y,4) scaling law.",,,,,
OMGAIMP0,,,,,,"Central rotation frequency of impurities. [formula in source, not extractable]",,,discard,Column is entirely empty.,,,,,
OMGAIMPH,,,,,,"Rotation frequency of impurities at half radius. [formula in source, not extractable]",,,discard,Column is entirely empty.,,,,,
OMGAM0,,,,,,"Central rotation frequency of main plasma species. [formula in source, not extractable]",,,discard,Column is entirely empty.,,,,,
OMGAMH,,,,,,"Rotation frequency of main plasma species at half radius. [formula in source, not extractable]",,,discard,Column is entirely empty.,,,,,
VTORV,,,,,,Volume-averaged rotation velocity of plasma.,,,discard,Column is entirely empty.,,,,,
VTORIMP,,,,,,Volume-averaged rotation velocity of impurity species.,,,discard,Column is entirely empty.,,,,,
STANDARD,,,,,,Standard dataset flag for DB1.,,,discard,"Standard-dataset flag for DB1, superseded.",,,,,
SELDB1,,,,,,"Selection variable related to DB1. [formula in source, not extractable]",,,discard,"Selection bitmask for DB1, superseded. Three digits wide here, unlike the ten-digit SELDB1 of the 2008 database.",,,,,
SELDB2,,,,,,"Selection variable related to DB2. [formula in source, not extractable]",,,discard,"Selection bitmask for DB2, superseded.",,,,,
SELDB2X,,,,,,"Selection variable with extra criteria related to DB2. [formula in source, not extractable]",,,discard,"Extra-criteria selection bitmask for DB2, superseded.",,,,,
IAEA92,,,,,,Standard dataset flag for DB2.,,,discard,"Standard-dataset flag for DB2, superseded.",,,,,
DB2P5,,,,,,Standard dataset flag for DB2.,,,discard,"Standard-dataset flag for DB2, superseded.",,,,,
DB2P8,,,,,,Standard dataset flag for DB2.,,,discard,"Standard-dataset flag for DB2, superseded.",,,,,
DB3IS,,,,,,Standard dataset flag for DB2.,,,discard,"Standard-dataset flag for DB2, superseded.",,,,,
DB3V5,,,,,,Standard dataset flag for DB3.,,,discard,"Standard-dataset flag for DB3, superseded.",,,,,
IAE2000N,,,,,,Standard dataset flag for DB3.,,,discard,"Standard-dataset flag for DB3, superseded.",,,,,
IAE2000X,,,,,,Standard dataset flag for DB3.,,,discard,"Standard-dataset flag for DB3, superseded.",,,,,
HMWS2003,,,,,,Standard dataset flag for DB3.,,,discard,"Standard-dataset flag for DB3, superseded.",,,,,
IAE2004S,,,,,,Standard dataset flag for DB3.,,,discard,"Standard-dataset flag for DB3, superseded.",,,,,
IAE2004I,,,,,,Standard dataset flag for DB3.,,,discard,"Standard-dataset flag for DB3, superseded.",,,,,
DB3DONLY,,,,,,Standard dataset flag for DB3.,,,discard,"Standard-dataset flag for DB3, superseded.",,,,,
HMWS2005,,,,,,Standard dataset flag for DB3.,,,discard,"Standard-dataset flag for DB3, superseded.",,,,,
OJK2006,,,,,,Standard dataset flag for DB3.,,,discard,"Standard-dataset flag for DB3, superseded, and zero on every row where it is filled.",,,,,
SELDB3,,,,,,"Selection variable related to DB3. [formula in source, not extractable]",,,discard,"Selection bitmask for DB3, superseded.",,,,,
SELDB3X,,,,,,"Selection variable with extra criteria related to DB3. [formula in source, not extractable]",,,discard,"Extra-criteria selection bitmask for DB3, superseded. Ten digits wide.",,,,,
SELDB4,,,,,,"Selection variable related to DB4. [formula in source, not extractable]",,,discard,"Selection bitmask for DB4, superseded.",,,,,
AAREA,,,,,,[not in the DB5.2.3 variable definitions document],,,discard,"Not in the variable definitions document; meaning unknown. Filled on 77 AUG rows only, where it equals sqrt(AREA / (pi * KAPPA)) to within 1.4e-6 relative on every row, i.e. an area-equivalent minor radius.",,,,,
STDDB4V5,,,,,,Standard dataset flag for DB4.,,,discard,"Standard-dataset flag for DB4, superseded, and filled on only 77 of 14153 rows.",,,,,
PMAIN,,,,,,Neutral pressure in the main chamber.,,,discard,Column is entirely empty.,,,,,
PDIV,,,,,,Neutral pressure in the divertor.,,,discard,Column is entirely empty.,,,,,
GP_MAIN,,,,,,Gas puff in the main chamber.,,,discard,Column is entirely empty.,,,,,
GP_DIV,,,,,,Gas puff in the divertor.,,,discard,Column is entirely empty.,,,,,
STD3,,,,,,Standard dataset flag for DB3.,,,discard,"Standard-dataset flag for DB3, superseded.",,,,,
TOK_ID,,,,,,Tokamak ID number.,,,derived,One-to-one integer encoding of TOK; the definitions document gives the mapping as a table.,,,,,
TIME_ID,,,,,,"Integer equivalent of TIME. [formula in source, not extractable]",,,derived,"Integer equivalent of TIME: INT(1e3 * ROUND(TIME, 1e-3)), and INT(1e5 * ...) for TUMAN3M.",,,,,
KAPPAA,,,,,,"Alternative plasma elongation definition. [formula in source, not extractable]",,,derived,"AREA / (pi * AMIN^2), an area-equivalent elongation.",,,,,
KAREA,,,,,,"Alternative plasma elongation definition. [formula in source, not extractable]",,,derived,"VOL / (2 * pi^2 * AMIN^2 * RGEO), a volume-equivalent elongation.",,,,,
TAUCR,,,,,,"Current relaxation time. [formula in source, not extractable]",,,derived,"2.51e-6 * IP * RGEO / VSURF, after [Mikkelsen89].",,,,,
RHOINV,,,,,,"Normalized sawtooth inversion radius rho. [formula in source, not extractable]",,,derived,"Sawtooth inversion radius from Eq. (7) of [Weisen02], a formula in IP, RGEO, AMIN, BT and KAPPA.",,,,,
WFANI,,,,,,"Estimate of fraction of perpendicular fast ion energy as compared to the total fast ion energy due to NBI. [formula in source, not extractable]",,,derived,"WFPER / (WFPER + WFPAR), the perpendicular fraction of the NBI fast-ion energy.",,,,,
WFANIIC,,,,,,Estimate of fraction of perpendicular fast ion energy compared to total fast ion energy due to ICRH heating. Zero if no ICRH is applied.,,,derived,"WFICRH / (WFICRH + WFICRHP), the perpendicular fraction of the ICRH fast-ion energy.",,,,,
PL,,,,,,Estimated loss power not corrected for charge exchange and unconfined orbit losses.,,,derived,"PL = PLTH + PFLOSS, and both are present.",,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
